Strain1,Strain2,Distance
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/CHICKEN/INDIA/NIV-33487/2006,1
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/EGYPT/321-NAMRU3/2007,1.414213562
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/CHICKEN/KOREA/GIMJE/2008,11.3137085
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/ANHUI/1/2005,45.254834
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/ANHUI/1/2005xPR8_IBCDC_RG-6,5.656854249
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/CHICKEN/MALAYSIA/935/2006,11.3137085
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/JAPANESE/WHITE_EYE/HK/1038/2006,1.414213562
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/GOOSE/GUIYANG/337/2006,32
A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,A/CHICKEN/VIETNAM/NCVD-016/2008,16
A/CHICKEN/INDIA/NIV-33487/2006,A/EGYPT/321-NAMRU3/2007,2.828427125
A/CHICKEN/INDIA/NIV-33487/2006,A/CHICKEN/KOREA/GIMJE/2008,16
A/CHICKEN/INDIA/NIV-33487/2006,A/ANHUI/1/2005,64
A/CHICKEN/INDIA/NIV-33487/2006,A/ANHUI/1/2005xPR8_IBCDC_RG-6,22.627417
A/CHICKEN/INDIA/NIV-33487/2006,A/CHICKEN/MALAYSIA/935/2006,32
A/CHICKEN/INDIA/NIV-33487/2006,A/JAPANESE/WHITE_EYE/HK/1038/2006,4
A/CHICKEN/INDIA/NIV-33487/2006,A/GOOSE/GUIYANG/337/2006,45.254834
A/CHICKEN/INDIA/NIV-33487/2006,A/CHICKEN/VIETNAM/NCVD-016/2008,32
A/EGYPT/321-NAMRU3/2007,A/CHICKEN/KOREA/GIMJE/2008,45.254834
A/EGYPT/321-NAMRU3/2007,A/ANHUI/1/2005,64
A/EGYPT/321-NAMRU3/2007,A/ANHUI/1/2005xPR8_IBCDC_RG-6,22.627417
A/EGYPT/321-NAMRU3/2007,A/CHICKEN/MALAYSIA/935/2006,16
A/EGYPT/321-NAMRU3/2007,A/JAPANESE/WHITE_EYE/HK/1038/2006,5.656854249
A/EGYPT/321-NAMRU3/2007,A/GOOSE/GUIYANG/337/2006,32
A/EGYPT/321-NAMRU3/2007,A/CHICKEN/VIETNAM/NCVD-016/2008,45.254834
A/CHICKEN/KOREA/GIMJE/2008,A/ANHUI/1/2005,90.50966799
A/CHICKEN/KOREA/GIMJE/2008,A/ANHUI/1/2005xPR8_IBCDC_RG-6,45.254834
A/CHICKEN/KOREA/GIMJE/2008,A/CHICKEN/MALAYSIA/935/2006,22.627417
A/CHICKEN/KOREA/GIMJE/2008,A/JAPANESE/WHITE_EYE/HK/1038/2006,64
A/CHICKEN/KOREA/GIMJE/2008,A/GOOSE/GUIYANG/337/2006,32
A/CHICKEN/KOREA/GIMJE/2008,A/CHICKEN/VIETNAM/NCVD-016/2008,45.254834
A/ANHUI/1/2005,A/ANHUI/1/2005xPR8_IBCDC_RG-6,1.414213562
A/ANHUI/1/2005,A/CHICKEN/MALAYSIA/935/2006,1
A/ANHUI/1/2005,A/JAPANESE/WHITE_EYE/HK/1038/2006,2
A/ANHUI/1/2005,A/GOOSE/GUIYANG/337/2006,32
A/ANHUI/1/2005,A/CHICKEN/VIETNAM/NCVD-016/2008,64
A/ANHUI/1/2005xPR8_IBCDC_RG-6,A/CHICKEN/MALAYSIA/935/2006,0.707106781
A/ANHUI/1/2005xPR8_IBCDC_RG-6,A/JAPANESE/WHITE_EYE/HK/1038/2006,2
A/ANHUI/1/2005xPR8_IBCDC_RG-6,A/GOOSE/GUIYANG/337/2006,5.656854249
A/ANHUI/1/2005xPR8_IBCDC_RG-6,A/CHICKEN/VIETNAM/NCVD-016/2008,32
A/CHICKEN/MALAYSIA/935/2006,A/JAPANESE/WHITE_EYE/HK/1038/2006,1
A/CHICKEN/MALAYSIA/935/2006,A/GOOSE/GUIYANG/337/2006,11.3137085
A/CHICKEN/MALAYSIA/935/2006,A/CHICKEN/VIETNAM/NCVD-016/2008,32
A/JAPANESE/WHITE_EYE/HK/1038/2006,A/GOOSE/GUIYANG/337/2006,22.627417
A/JAPANESE/WHITE_EYE/HK/1038/2006,A/CHICKEN/VIETNAM/NCVD-016/2008,32
A/GOOSE/GUIYANG/337/2006,A/CHICKEN/VIETNAM/NCVD-016/2008,22.627417
A/VIETNAM/1194/2004,A/VIETNAM/1203/2004,1.414213562
A/VIETNAM/1194/2004,A/INDONESIA/5/2005_CDC_RG-2,11.3137085
A/VIETNAM/1194/2004,A/w_swan/Mongolia/244/2005,11.3137085
A/VIETNAM/1194/2004,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,11.3137085
A/VIETNAM/1203/2004,A/THAILAND/16/2004,1
A/VIETNAM/1203/2004,A/INDONESIA/5/2005_CDC_RG-2,32
A/VIETNAM/1203/2004,A/INDONESIA/CDC357/2006,22.627417
A/VIETNAM/1203/2004,A/INDONESIA/CDC625/2006,8
A/VIETNAM/1203/2004,A/TURKEY/15/2005,32
A/VIETNAM/1203/2004,A/w_swan/Mongolia/244/2005,22.627417
A/VIETNAM/1203/2004,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,11.3137085
A/VIETNAM/1203/2004,A/DUCK/HUNANWG/15/2004,1.414213562
A/VIETNAM/1203/2004,A/GUANGXI/1/2005,11.3137085
A/THAILAND/16/2004,A/INDONESIA/5/2005_CDC_RG-2,32
A/THAILAND/16/2004,A/INDONESIA/CDC357/2006,32
A/THAILAND/16/2004,A/INDONESIA/CDC625/2006,22.627417
A/THAILAND/16/2004,A/TURKEY/15/2005,64
A/THAILAND/16/2004,A/w_swan/Mongolia/244/2005,32
A/THAILAND/16/2004,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,16
A/THAILAND/16/2004,A/DUCK/HUNANWG/15/2004,2
A/THAILAND/16/2004,A/ANHUI/1/2005,32
A/THAILAND/16/2004,A/GUANGXI/1/2005,11.3137085
A/INDONESIA/5/2005_CDC_RG-2,A/INDONESIA/CDC357/2006,1.414213562
A/INDONESIA/5/2005_CDC_RG-2,A/INDONESIA/CDC625/2006,5.656854249
A/INDONESIA/5/2005_CDC_RG-2,A/TURKEY/15/2005,11.3137085
A/INDONESIA/5/2005_CDC_RG-2,A/w_swan/Mongolia/244/2005,11.3137085
A/INDONESIA/5/2005_CDC_RG-2,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,5.656854249
A/INDONESIA/5/2005_CDC_RG-2,A/TURKEY/TURKEY/1/2005_NIBRG-23_c,5.656854249
A/INDONESIA/5/2005_CDC_RG-2,A/DUCK/HUNANWG/15/2004,8
A/INDONESIA/5/2005_CDC_RG-2,A/ANHUI/1/2005,32
A/INDONESIA/5/2005_CDC_RG-2,A/GUANGXI/1/2005,11.3137085
A/INDONESIA/CDC357/2006,A/INDONESIA/CDC625/2006,16
A/INDONESIA/CDC357/2006,A/TURKEY/15/2005,16
A/INDONESIA/CDC357/2006,A/w_swan/Mongolia/244/2005,8
A/INDONESIA/CDC357/2006,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,5.656854249
A/INDONESIA/CDC357/2006,A/DUCK/HUNANWG/15/2004,16
A/INDONESIA/CDC357/2006,A/ANHUI/1/2005,64
A/INDONESIA/CDC357/2006,A/GUANGXI/1/2005,32
A/INDONESIA/CDC625/2006,A/TURKEY/15/2005,4
A/INDONESIA/CDC625/2006,A/w_swan/Mongolia/244/2005,4
A/INDONESIA/CDC625/2006,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,2.828427125
A/INDONESIA/CDC625/2006,A/DUCK/HUNANWG/15/2004,16
A/INDONESIA/CDC625/2006,A/ANHUI/1/2005,32
A/INDONESIA/CDC625/2006,A/GUANGXI/1/2005,32
A/TURKEY/15/2005,A/w_swan/Mongolia/244/2005,1
A/TURKEY/15/2005,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,1.414213562
A/TURKEY/15/2005,A/DUCK/HUNANWG/15/2004,32
A/TURKEY/15/2005,A/ANHUI/1/2005,32
A/TURKEY/15/2005,A/GUANGXI/1/2005,22.627417
A/w_swan/Mongolia/244/2005,A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,0.353553391
A/w_swan/Mongolia/244/2005,A/TURKEY/TURKEY/1/2005_NIBRG-23_c,1
A/w_swan/Mongolia/244/2005,A/DUCK/HUNANWG/15/2004,22.627417
A/w_swan/Mongolia/244/2005,A/ANHUI/1/2005,45.254834
A/w_swan/Mongolia/244/2005,A/GUANGXI/1/2005,32
A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,A/TURKEY/TURKEY/1/2005_NIBRG-23_c,2
A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,A/DUCK/HUNANWG/15/2004,8
A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,A/ANHUI/1/2005,16
A/B-H_GOOSE/QINGHAI/1A/2005_SJRG-163222,A/GUANGXI/1/2005,8
A/DUCK/HUNANWG/15/2004,A/ANHUI/1/2005,2
A/ANHUI/1/2005,A/GUANGXI/1/2005,1.414213562
A/Teal/HongKong/2978.1/2002,A/HongKong/213/2003,2.828
A/Teal/HongKong/2978.1/2002,A/Goose/HongKong/739.2/2002,4
A/Turkey/Turkey/1/2005,A/Egret/Egypt/1162-NAMRU3/2006,1.414
A/Turkey/Turkey/1/2005,A/Bar-headedGoose/Qinghai/1A/2005,2
A/Turkey/Turkey/1/2005,A/Egypt/4226-NAMRU3/2007,1.414
A/Turkey/Turkey/1/2005,A/Egypt/1394-NAMRU3/2007,2
A/Turkey/Turkey/1/2005,A/Anhui/1/2005,22.627
A/Turkey/Turkey/1/2005,A/Egypt/N03072/2010,2
A/Turkey/Turkey/1/2005,A/Chicken/Egypt/9403-NAMRU3/2007,64
A/Turkey/Turkey/1/2005,A/Egypt/2321-NAMRU3/2007,3
A/Turkey/Turkey/1/2005,A/Turkey/65-596/2006,1
A/Turkey/Turkey/1/2005,A/Egypt/2786-NAMRU3/2006,2.828
A/Egret/Egypt/1162-NAMRU3/2006,A/Egypt/3300-NAMRU3/2008,64
A/Egret/Egypt/1162-NAMRU3/2006,A/Egypt/0215-NAMRU3/2007,1.414
A/Egret/Egypt/1162-NAMRU3/2006,A/Egypt/1394-NAMRU3/2007,2
A/Egret/Egypt/1162-NAMRU3/2006,A/Egypt/4226-NAMRU3/2007,0.5
A/Egret/Egypt/1162-NAMRU3/2006,A/Anhui/1/2005,32
A/Egret/Egypt/1162-NAMRU3/2006,A/Chicken/Egypt/9403-NAMRU3/2007,16
A/Egret/Egypt/1162-NAMRU3/2006,A/Egypt/2321-NAMRU3/2007,1
A/Duck/Hunan/15/2004,A/Anhui/1/2005,2
A/Vietnam/1203/2004,A/Egret/Egypt/1162-NAMRU3/2006,32
A/Vietnam/1203/2004,A/Duck/Hunan/15/2004,1.414
A/Vietnam/1203/2004,A/Vietnam/Jp4207/2005,1
A/Vietnam/1203/2004,A/Egypt/3300-NAMRU3/2008,72
A/Vietnam/1203/2004,A/Egypt/1394-NAMRU3/2007,64
A/Vietnam/1203/2004,A/MuscovyDuck/Vietnam/1455/2006,8
A/Vietnam/1203/2004,A/Vietnam/Jp178/2004,1
A/Vietnam/1203/2004,A/CommonMagpie/HongKong/645/2006,2.828
A/Vietnam/1203/2004,A/Vietnam/Jp14/2005,1
A/Indonesia/Cdc357/2006,A/WhooperSwan/Mongolia/244/2005,8
A/Indonesia/Cdc357/2006,A/Duck/Hunan/15/2004,16
A/Indonesia/Cdc357/2006,A/Bar-headedGoose/Qinghai/1A/2005,5.657
A/Vietnam/1194/2004,A/WhooperSwan/Mongolia/244/2005,11.314
A/Vietnam/1194/2004,A/Indonesia/5/2005,11.314
A/Vietnam/1194/2004,A/Bar-headedGoose/Qinghai/1A/2005,11.314
A/Egypt/9539-NAMRU3/2009,A/Egypt/1394-NAMRU3/2007,1
A/Goose/Vietnam/113/2001,A/Teal/HongKong/2978.1/2002,4
A/Goose/Vietnam/113/2001,A/HongKong/213/2003,2.828
A/Goose/Vietnam/113/2001,A/Goose/HongKong/739.2/2002,4
A/Vietnam/Jp4207/2005,A/Vietnam/Jp14/2005,2
A/Turkey/65-596/2006,A/Egret/Egypt/1162-NAMRU3/2006,0.707
A/Turkey/65-596/2006,A/Egypt/3300-NAMRU3/2008,64
A/Turkey/65-596/2006,A/Bar-headedGoose/Qinghai/1A/2005,1
A/Turkey/65-596/2006,A/Egypt/4226-NAMRU3/2007,1.414
A/Turkey/65-596/2006,A/Egypt/1394-NAMRU3/2007,2
A/Turkey/65-596/2006,A/Egypt/0215-NAMRU3/2007,2
A/Turkey/65-596/2006,A/Chicken/Egypt/9403-NAMRU3/2007,8
A/Turkey/65-596/2006,A/Egypt/2321-NAMRU3/2007,1.414
A/Turkey/65-596/2006,A/Egypt/2786-NAMRU3/2006,1.414
A/Turkey/65-596/2006,A/JapaneseWhiteEye/HongKong/1038/2006,90.51
A/CommonMagpie/HongKong/5052/2007,A/HongKong/6841/2010,2
A/CommonMagpie/HongKong/5052/2007,A/Bar-headedGoose/Mongolia/x53/2009,1.414
A/CommonMagpie/HongKong/5052/2007,A/GreyHeron/HongKong/1046/2008,2
A/Goose/HongKong/739.2/2002,A/HongKong/213/2003,1.414
A/Chicken/India/Niv-33487/2006,A/JapaneseWhiteEye/HongKong/1038/2006,3.414
A/Egypt/4226-NAMRU3/2007,A/Egypt/1394-NAMRU3/2007,3.4
A/Egypt/4226-NAMRU3/2007,A/Egypt/0215-NAMRU3/2007,2
A/Egypt/4226-NAMRU3/2007,A/Anhui/1/2005,22.627
A/Egypt/4226-NAMRU3/2007,A/Egypt/9539-NAMRU3/2009,4
A/Anhui/1/2005,A/Duck/Laos/3295/2006,1.207
A/Anhui/1/2005,A/JapaneseWhiteEye/HongKong/1038/2006,2
A/HongKong/213/2003,A/Vietnam/Jp30321/2005,8
A/HongKong/213/2003,A/Vietnam/Jp4207/2005,11.314
A/HongKong/213/2003,A/Vietnam/Jp14/2005,5.657
A/Egypt/N03072/2010,A/Egypt/3300-NAMRU3/2008,362.039
A/Duck/Laos/3295/2006,A/JapaneseWhiteEye/HongKong/1038/2006,2.121
A/Duck/Hunan/795/2002,A/Turkey/Turkey/1/2005,1.414
A/Duck/Hunan/795/2002,A/Egret/Egypt/1162-NAMRU3/2006,1
A/Duck/Hunan/795/2002,A/Bar-headedGoose/Qinghai/1A/2005,0.707
A/Duck/Hunan/795/2002,A/Egypt/1394-NAMRU3/2007,5.657
A/Duck/Hunan/795/2002,A/WhooperSwan/Mongolia/244/2005,1.414
A/Duck/Hunan/795/2002,A/Egypt/2321-NAMRU3/2007,1.414
A/Duck/Hunan/795/2002,A/JapaneseWhiteEye/HongKong/1038/2006,22.627
A/Duck/Hunan/795/2002,A/Egypt/4226-NAMRU3/2007,0.707
A/Duck/Hunan/795/2002,A/Egypt/0215-NAMRU3/2007,2
A/Duck/Hunan/795/2002,A/Chicken/Egypt/9403-NAMRU3/2007,8
A/Duck/Hunan/795/2002,A/Egypt/2786-NAMRU3/2006,2
A/Bar-headedGoose/Qinghai/1A/2005,A/MuscovyDuck/Vietnam/1455/2006,1.914
A/Bar-headedGoose/Qinghai/1A/2005,A/Egret/Egypt/1162-NAMRU3/2006,0.707
A/Bar-headedGoose/Qinghai/1A/2005,A/Duck/Hunan/15/2004,8
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/3300-NAMRU3/2008,24.6275
A/Bar-headedGoose/Qinghai/1A/2005,A/Guangxi/1/2005,8
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/0215-NAMRU3/2007,2
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/1394-NAMRU3/2007,2.828
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/4226-NAMRU3/2007,1
A/Bar-headedGoose/Qinghai/1A/2005,A/Anhui/1/2005,13.657
A/Bar-headedGoose/Qinghai/1A/2005,A/Chicken/Egypt/9403-NAMRU3/2007,11.314
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/2321-NAMRU3/2007,2
A/Bar-headedGoose/Qinghai/1A/2005,A/Egypt/2786-NAMRU3/2006,2
A/Bar-headedGoose/Mongolia/x53/2009,A/HongKong/6841/2010,1
A/Egypt/1394-NAMRU3/2007,A/Egypt/0215-NAMRU3/2007,5.657
A/Egypt/1394-NAMRU3/2007,A/Anhui/1/2005,32
A/Egypt/1394-NAMRU3/2007,A/Chicken/Egypt/9403-NAMRU3/2007,77.25
A/WhooperSwan/Mongolia/244/2005,A/Turkey/Turkey/1/2005,1.3105
A/WhooperSwan/Mongolia/244/2005,A/Egret/Egypt/1162-NAMRU3/2006,1
A/WhooperSwan/Mongolia/244/2005,A/Chicken/Vietnam/Ncvd-016/2008,90.51
A/WhooperSwan/Mongolia/244/2005,A/Bar-headedGoose/Qinghai/1A/2005,1.5885
A/WhooperSwan/Mongolia/244/2005,A/Egypt/1394-NAMRU3/2007,2.828
A/WhooperSwan/Mongolia/244/2005,A/Chicken/Korea/Gimje/2008,16
A/WhooperSwan/Mongolia/244/2005,A/Egypt/2321-NAMRU3/2007,4
A/WhooperSwan/Mongolia/244/2005,A/Turkey/65-596/2006,1.5
A/WhooperSwan/Mongolia/244/2005,A/MuscovyDuck/Vietnam/1455/2006,2.828
A/WhooperSwan/Mongolia/244/2005,A/Goose/Guiyang/337/2006,90.51
A/WhooperSwan/Mongolia/244/2005,A/Egypt/3300-NAMRU3/2008,61.255
A/WhooperSwan/Mongolia/244/2005,A/Egypt/4226-NAMRU3/2007,1.414
A/WhooperSwan/Mongolia/244/2005,A/Egypt/0215-NAMRU3/2007,2.828
A/WhooperSwan/Mongolia/244/2005,A/Chicken/India/Niv-33487/2006,1
A/WhooperSwan/Mongolia/244/2005,A/Chicken/Egypt/9403-NAMRU3/2007,22.627
A/WhooperSwan/Mongolia/244/2005,A/Egypt/321/2007,2.828
A/WhooperSwan/Mongolia/244/2005,A/Egypt/2786-NAMRU3/2006,2.828
A/HongKong/156/1997,A/Teal/HongKong/2978.1/2002,5.657
A/HongKong/156/1997,A/Vietnam/1203/2004,16
A/HongKong/156/1997,A/Vietnam/Jp178/2004,5.657
A/HongKong/156/1997,A/Goose/HongKong/739.2/2002,2.828
A/HongKong/156/1997,A/HongKong/213/2003,6.657
A/HongKong/156/1997,A/Goose/Vietnam/113/2001,2.828
A/HongKong/156/1997,A/Vietnam/Jp4207/2005,5.657
A/HongKong/156/1997,A/Vietnam/Jp30321/2005,8
A/HongKong/156/1997,A/Vietnam/Jp14/2005,8
A/Chicken/Korea/Gimje/2008,A/Duck/Laos/3295/2006,22.627
A/Chicken/Korea/Gimje/2008,A/JapaneseWhiteEye/HongKong/1038/2006,77.255
A/Egypt/2321-NAMRU3/2007,A/Egypt/0215-NAMRU3/2007,2
A/Egypt/2321-NAMRU3/2007,A/Egypt/1394-NAMRU3/2007,2.828
A/Egypt/2321-NAMRU3/2007,A/Egypt/4226-NAMRU3/2007,2.414
A/Egypt/2321-NAMRU3/2007,A/Anhui/1/2005,45.255
A/Egypt/2321-NAMRU3/2007,A/Egypt/N03072/2010,2.828
A/JapaneseWhiteEye/HongKong/1038/2006,A/Goose/Guiyang/337/2006,22.627
A/JapaneseWhiteEye/HongKong/1038/2006,A/Chicken/Vietnam/Ncvd-016/2008,32
A/Egypt/1394-NAMRU3/2007,A/Egypt/N03072/2010,1
A/MuscovyDuck/Vietnam/1455/2006,A/CommonMagpie/HongKong/5052/2007,2
A/MuscovyDuck/Vietnam/1455/2006,A/GreyHeron/HongKong/1046/2008,2
A/Thailand/16/2004,A/Duck/Hunan/15/2004,2
A/Vietnam/Jp178/2004,A/Vietnam/Jp30321/2005,4
A/Vietnam/Jp178/2004,A/Vietnam/Jp4207/2005,1.414
A/Vietnam/Jp178/2004,A/Vietnam/Jp14/2005,1.414
A/Indonesia/Cdc625/2006,A/WhooperSwan/Mongolia/244/2005,4
A/Indonesia/Cdc625/2006,A/Duck/Hunan/15/2004,16
A/Indonesia/Cdc625/2006,A/Bar-headedGoose/Qinghai/1A/2005,2.828
A/Egypt/0215-NAMRU3/2007,A/Chicken/Egypt/9403-NAMRU3/2007,32
A/Indonesia/5/2005,A/Turkey/Turkey/1/2005,5.657
A/Indonesia/5/2005,A/Duck/Hunan/15/2004,8
A/Indonesia/5/2005,A/Bar-headedGoose/Qinghai/1A/2005,5.657
A/Indonesia/5/2005,A/Indonesia/Cdc357/2006,1.414
A/Indonesia/5/2005,A/WhooperSwan/Mongolia/244/2005,4.8285
A/Indonesia/5/2005,A/MuscovyDuck/Vietnam/1455/2006,2.828
A/Indonesia/5/2005,A/Guangxi/1/2005,11.314
A/Indonesia/5/2005,A/Indonesia/Cdc625/2006,5.657
A/Indonesia/5/2005,A/CommonMagpie/HongKong/645/2006,8
A/Indonesia/5/2005,A/Duck/Laos/3295/2006,45.255
A/CommonMagpie/HongKong/645/2006,A/JapaneseWhiteEye/HongKong/1038/2006,2.828
A/Duck/Hunan/101/2004,A/Vietnam/1203/2004,4
A/Duck/Hunan/101/2004,A/Indonesia/5/2005,2.828
A/Duck/Hunan/101/2004,A/Bar-headedGoose/Qinghai/1A/2005,0.707
A/Chicken/Egypt/9403-NAMRU3/2007,A/Anhui/1/2005,22.627
A/Egypt/321/2007,A/Anhui/1/2005,90.51
A/Egypt/321/2007,A/Duck/Laos/3295/2006,16
A/Egypt/321/2007,A/JapaneseWhiteEye/HongKong/1038/2006,8
A/Vietnam/Jp14/2005,A/Vietnam/Jp30321/2005,2.828
A/Egypt/2786-NAMRU3/2006,A/Egypt/4226-NAMRU3/2007,2
A/Egypt/2786-NAMRU3/2006,A/Egypt/1394-NAMRU3/2007,2
A/Egypt/2786-NAMRU3/2006,A/Egypt/0215-NAMRU3/2007,2.828
A/Egypt/2786-NAMRU3/2006,A/Anhui/1/2005,90.51
A/Egypt/2786-NAMRU3/2006,A/Egypt/3300-NAMRU3/2008,181.019
A/Egypt/2786-NAMRU3/2006,A/Chicken/Egypt/9403-NAMRU3/2007,64
A/Egypt/2786-NAMRU3/2006,A/Egypt/2321-NAMRU3/2007,5.657
A/HongKong/6841/2010,A/Anhui/1/2005,32
A/Chicken/Vietnam/Ncvd-035/2008,A/Chicken/Vietnam/Ncvd-016/2008,45.255
A/Vietnam/1203/2004,A/Turkey/Turkey/1/2005,74
A/Vietnam/1203/2004,A/Chicken/Vietnam/Ncvd-035/2008,8
A/Vietnam/1203/2004,A/Egypt/4226-NAMRU3/2007,32
A/Vietnam/1203/2004,A/Duck/Laos/3295/2006,21.657
A/Vietnam/1203/2004,A/Bar-headedGoose/Qinghai/1A/2005,27.456
A/Vietnam/1203/2004,A/WhooperSwan/Mongolia/244/2005,48.9705
A/Vietnam/1203/2004,A/Egypt/2321-NAMRU3/2007,45.255
A/Vietnam/1203/2004,A/JapaneseWhiteEye/HongKong/1038/2006,86.6275
A/Vietnam/1203/2004,A/Egypt/0215-NAMRU3/2007,32
A/Vietnam/1203/2004,A/Vietnam/Jp30321/2005,16
A/Vietnam/1203/2004,A/Chicken/Egypt/9403-NAMRU3/2007,90.51
A/Vietnam/1203/2004,A/Egypt/2786-NAMRU3/2006,90.51
A/Vietnam/1203/2004,A/Egypt/321/2007,45.255
A/Vietnam/1194/2004,A/Turkey/Turkey/1/2005,11.314
A/Egypt/9539-NAMRU3/2009,A/Egypt/3300-NAMRU3/2008,32
A/Egypt/9539-NAMRU3/2009,A/Chicken/Egypt/9403-NAMRU3/2007,16
A/Vietnam/Jp4207/2005,A/Vietnam/Jp30321/2005,8
A/CommonMagpie/HongKong/5052/2007,A/Anhui/1/2005,32
A/CommonMagpie/HongKong/5052/2007,A/JapaneseWhiteEye/HongKong/1038/2006,16.9705
A/Egypt/3300-NAMRU3/2008,A/Anhui/1/2005,181.019
A/GreyHeron/HongKong/1046/2008,A/JapaneseWhiteEye/HongKong/1038/2006,16
A/Egypt/4226-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,48
A/Egypt/4226-NAMRU3/2007,A/Chicken/Egypt/9403-NAMRU3/2007,13.657
A/HongKong/213/2003,A/Vietnam/1203/2004,45.255
A/HongKong/213/2003,A/Vietnam/Jp178/2004,11.314
A/Duck/Hunan/795/2002,A/Egypt/3300-NAMRU3/2008,22.627
A/Bar-headedGoose/Qinghai/1A/2005,A/CommonMagpie/HongKong/5052/2007,7.657
A/Bar-headedGoose/Qinghai/1A/2005,A/GreyHeron/HongKong/1046/2008,5.657
A/Bar-headedGoose/Qinghai/1A/2005,A/JapaneseWhiteEye/HongKong/1038/2006,5
A/Bar-headedGoose/Mongolia/x53/2009,A/Anhui/1/2005,22.627
A/Egypt/1394-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,128
A/WhooperSwan/Mongolia/244/2005,A/Duck/Hunan/15/2004,16
A/WhooperSwan/Mongolia/244/2005,A/JapaneseWhiteEye/HongKong/1038/2006,22.627
A/WhooperSwan/Mongolia/244/2005,A/Guangxi/1/2005,22.627
A/WhooperSwan/Mongolia/244/2005,A/Anhui/1/2005,64
A/WhooperSwan/Mongolia/244/2005,A/Duck/Laos/3295/2006,22.627
A/Egypt/2321-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,144
A/Egypt/2321-NAMRU3/2007,A/Egypt/9539-NAMRU3/2009,8
A/Egypt/2321-NAMRU3/2007,A/Chicken/Egypt/9403-NAMRU3/2007,33.941
A/MuscovyDuck/Vietnam/1455/2006,A/JapaneseWhiteEye/HongKong/1038/2006,3.8285
A/Thailand/16/2004,A/Bar-headedGoose/Qinghai/1A/2005,11.314
A/Thailand/16/2004,A/WhooperSwan/Mongolia/244/2005,27.3135
A/Thailand/16/2004,A/Indonesia/5/2005,22.627
A/Thailand/16/2004,A/Egypt/321/2007,32
A/Thailand/16/2004,A/Duck/Laos/3295/2006,11.314
A/Thailand/16/2004,A/JapaneseWhiteEye/HongKong/1038/2006,32
A/Egypt/0215-NAMRU3/2007,A/Anhui/1/2005,32
A/Indonesia/5/2005,A/JapaneseWhiteEye/HongKong/1038/2006,22.627
A/Chicken/Egypt/9403-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,19.3135
A/HongKong/6841/2010,A/Chicken/VietNam/NCVD-700/2011,2
A/HongKong/6841/2010,A/Duck/VietNam/NCVD-1584/2012,1.207
A/Vietnam/1203/2004,A/Cambodia/R0405050/2007,4
A/Vietnam/1203/2004,A/Chicken/VietNam/NCVD-775/2011,1
A/Vietnam/1194/2004,A/Egypt/3300-NAMRU3/2008,128
A/Vietnam/1194/2004,A/Chicken/VietNam/NCVD-775/2011,0.707
A/Chicken/VietNam/NCVD-775/2011,A/Egypt/3300-NAMRU3/2008,128
A/Bar-headedGoose/Mongolia/x53/2009,A/Duck/VietNam/NCVD-1584/2012,1
A/CommonMagpie/HongKong/5052/2007,A/Hubei/1/2010,3.414
A/CommonMagpie/HongKong/5052/2007,A/Duck/VietNam/NCVD-1584/2012,1.414
A/CommonMagpie/HongKong/5052/2007,A/Chicken/VietNam/NCVD-700/2011,5.657
A/CommonMagpie/HongKong/5052/2007,A/BarnSwallow/HongKong/1161/2010,2.828
A/Hubei/1/2010,A/HongKong/6841/2010,2.121
A/Hubei/1/2010,A/Duck/VietNam/NCVD-1584/2012,2
A/Hubei/1/2010,A/Bar-headedGoose/Mongolia/x53/2009,2
A/Hubei/1/2010,A/BarnSwallow/HongKong/1161/2010,2.828
