Strain1,Strain2,Distance
A/chicken/Korea/GIMJE/08,A/Anhui/1/05,128
A/chicken/Korea/GIMJE/08,A/Jap_white_eye/Hong_Kong/1038/06,90.50966799
A/chicken/Korea/GIMJE/08,A/duck/Laos/3295/06,22.627417
A/chicken/Korea/GIMJE/08,A/chicken/Viet_Nam/NCVD-35/08,16
A/Anhui/1/05,A/Jap_white_eye/Hong_Kong/1038/06,2
A/Anhui/1/05,A/duck/Laos/3295/06,1.414213562
A/Anhui/1/05,A/chicken/Viet_Nam/NCVD-35/08,4
A/Jap_white_eye/Hong_Kong/1038/06,A/duck/Laos/3295/06,1.414213562
A/Jap_white_eye/Hong_Kong/1038/06,A/chicken/Viet_Nam/NCVD-35/08,11.3137085
A/duck/Laos/3295/06,A/chicken/Viet_Nam/NCVD-35/08,2
A/Anhui/1/2005,A/ck/Bangladesh/11RS-1984-30/2011_IDCDC_RG36,11.3137085
A/Anhui/1/2005,A/Guizhou/1/2013_IDCDC_RG35,8
A/ck/Bangladesh/11RS-1984-30/2011_IDCDC_RG36,A/Guizhou/1/2013_IDCDC_RG35,2.828427125
A/Egypt/N03072/2010,A/Egypt/N03072/2010_IDCDC_RG29,1.414213562
A/Egypt/N03072/2010,A/Egypt/N00994/2011,1.414213562
A/Egypt/N03072/2010,A/Egypt/01050-NAMRU3/2013,1.414213562
A/Egypt/N03072/2010,A/chicken/Egypt/Q7630D/2013,5.656854249
A/Egypt/N03072/2010_IDCDC_RG29,A/Egypt/N00994/2011,2
A/Egypt/N03072/2010_IDCDC_RG29,A/Egypt/01050-NAMRU3/2013,1
A/Egypt/N03072/2010_IDCDC_RG29,A/chicken/Egypt/Q7630D/2013,5.656854249
A/Egypt/N00994/2011,A/Egypt/01050-NAMRU3/2013,0.5
A/Egypt/N00994/2011,A/chicken/Egypt/Q7630D/2013,4
A/Egypt/01050-NAMRU3/2013,A/chicken/Egypt/Q7630D/2013,0.707106781
A/Viet_Nam/1203/2004,A/Cambodia/R0405050/2007,4
A/Viet_Nam/1203/2004,A/chicken/Viet_Nam/NCVD-775/2011,1
A/Viet_Nam/1203/2004,A/Cambodia/W0526301/2012,1.414213562
A/Viet_Nam/1203/2004,A/Cambodia_/W0329318/2012,1
A/Cambodia/R0405050/2007,A/chicken/Viet_Nam/NCVD-775/2011,16
A/Cambodia/R0405050/2007,A/Cambodia/W0526301/2012,11.3137085
A/Cambodia/R0405050/2007,A/Cambodia_/W0329318/2012,5.656854249
A/chicken/Viet_Nam/NCVD-775/2011,A/Cambodia/W0526301/2012,1.414213562
A/chicken/Viet_Nam/NCVD-775/2011,A/Cambodia_/W0329318/2012,1.414213562
A/Cambodia/W0526301/2012,A/Cambodia_/W0329318/2012,2.828427125
A/duck/Laos/3295/2006,A/Japanese_white_eye/Hong_Kong/1038/2006,2.828427125
A/Anhui/1/2005,A/Guizhou/1/2013_IDCDC-RG35,4
A/Anhui/1/2005,A/chicken/Hong_Kong/AP156/2008,8
A/Anhui/1/2005,A/Sichuan/26221/2014_IDCDC-RG42A,128
A/Anhui/1/2005,A/chicken/Viet_Nam/NCVD-14-A324/2014,90.50966799
A/Anhui/1/2005,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,181.019336
A/Guizhou/1/2013_IDCDC-RG35,A/chicken/Hong_Kong/AP156/2008,5.656854249
A/Guizhou/1/2013_IDCDC-RG35,A/Sichuan/26221/2014_IDCDC-RG42A,45.254834
A/Guizhou/1/2013_IDCDC-RG35,A/chicken/Viet_Nam/NCVD-14-A324/2014,32
A/Guizhou/1/2013_IDCDC-RG35,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,64
A/chicken/Hong_Kong/AP156/2008,A/Sichuan/26221/2014_IDCDC-RG42A,32
A/chicken/Hong_Kong/AP156/2008,A/chicken/Viet_Nam/NCVD-14-A324/2014,22.627417
A/chicken/Hong_Kong/AP156/2008,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,45.254834
A/Sichuan/26221/2014_IDCDC-RG42A,A/chicken/Viet_Nam/NCVD-14-A324/2014,1.414213562
A/Sichuan/26221/2014_IDCDC-RG42A,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,5.656854249
A/chicken/Viet_Nam/NCVD-14-A324/2014,A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,16
A/common_magpie/Hong_Kong/5052/2007,A/Hong_Kong/6841/2010,4
A/common_magpie/Hong_Kong/5052/2007,A/duck/Viet_Nam/NCVD-1584/2012,1.414213562
A/common_magpie/Hong_Kong/5052/2007,A/duck/Viet_Nam_/NCVD-2848/2013,11.3137085
A/Hong_Kong/6841/2010,A/duck/Viet_Nam/NCVD-1584/2012,1.414213562
A/Hong_Kong/6841/2010,A/duck/Viet_Nam_/NCVD-2848/2013,2.828427125
A/duck/Viet_Nam/NCVD-1584/2012,A/duck/Viet_Nam_/NCVD-2848/2013,1.414213562
A/VIETNAM/1194/04,A/INDONESIA/5/05,11.3137085
A/VIETNAM/1194/04,A/w.swan/MG/244/05_RG,11.3137085
A/VIETNAM/1194/04,A/b-h_gs/QINGHAI/1/05,11.3137085
A/VIETNAM/1194/04,A/turkey/TURKEY/1/05,16
A/VIETNAM/1203/04,A/THAILAND/16/04,1
A/VIETNAM/1203/04,A/INDONESIA/5/05,32
A/VIETNAM/1203/04,A/INDONESIA/CDC357/06,22.627417
A/VIETNAM/1203/04,A/INDONESIA/CDC625/06*,8
A/VIETNAM/1203/04,A/TURKEY/15/05,32
A/VIETNAM/1203/04,A/w.swan/MG/244/05_RG,22.627417
A/VIETNAM/1203/04,A/b-h_gs/QINGHAI/1/05,11.3137085
A/VIETNAM/1203/04,A/duck/HUNAN/15/04,1.414213562
A/VIETNAM/1203/04,A/ANHUI/1/05,16
A/VIETNAM/1203/04,A/GUANGXI/1/05,11.3137085
A/THAILAND/16/04,A/INDONESIA/5/05,32
A/THAILAND/16/04,A/INDONESIA/CDC357/06,32
A/THAILAND/16/04,A/INDONESIA/CDC625/06*,22.627417
A/THAILAND/16/04,A/TURKEY/15/05,64
A/THAILAND/16/04,A/w.swan/MG/244/05_RG,32
A/THAILAND/16/04,A/b-h_gs/QINGHAI/1/05,16
