Strain1,Strain2,Distance
A/Hong_Kong/1/68,A/Victoria/3/75,64

A/Hong_Kong/1/68,A/Philippines/2/82,64

A/Hong_Kong/1/68,A/Swine/Brabant/84,32

A/Hong_Kong/1/68,A/swine/England/90591/1997,32

A/England/42/72,A/Port_Chalmers/1/73,2

A/England/42/72,A/Victoria/3/75,11.3137085

A/England/42/72,A/Philippines/2/82,90.50966799

A/England/42/72,A/Swine/Brabant/84,11.3137085

A/England/42/72,A/swine/England/90591/1997,90.50966799

A/Port_Chalmers/1/73,A/Victoria/3/75,4

A/Port_Chalmers/1/73,A/Philippines/2/82,45.254834

A/Port_Chalmers/1/73,A/Swine/Brabant/84,2.828427125

A/Port_Chalmers/1/73,A/swine/England/90591/1997,64

A/Victoria/3/75,A/Philippines/2/82,32

A/Victoria/3/75,A/Swine/Brabant/84,2.828427125

A/Victoria/3/75,A/swine/England/90591/1997,45.254834

A/Philippines/2/82,A/Swine/Brabant/84,128

A/Philippines/2/82,A/swine/England/90591/1997,181.019336

A/Swine/Brabant/84,A/swine/England/90591/1997,8

A/Wisconsin/67/2005,A/Brisbane/10/2007,2

A/Wisconsin/67/2005,A/Uruguay/716/2007,1.414213562

A/Wisconsin/67/2005,A/Finland/9/2008,1.414213562

A/Wisconsin/67/2005,A/Johannesburg/15/2008,2.828427125

A/Wisconsin/67/2005,A/Hong_Kong/1952/2009,22.627417

A/Wisconsin/67/2005,A/Hong_Kong/1985/2009,64

A/Wisconsin/67/2005,A/Perth/16/2009,45.254834

A/Wisconsin/67/2005,A/Wisconsin/15/2009,22.627417

A/Brisbane/10/2007,A/Uruguay/716/2007,1.414213562

A/Brisbane/10/2007,A/Finland/9/2008,1

A/Brisbane/10/2007,A/Johannesburg/15/2008,2.828427125

A/Brisbane/10/2007,A/Hong_Kong/1952/2009,11.3137085

A/Brisbane/10/2007,A/Hong_Kong/1985/2009,32

A/Brisbane/10/2007,A/Perth/16/2009,45.254834

A/Brisbane/10/2007,A/Wisconsin/15/2009,22.627417

A/Uruguay/716/2007,A/Finland/9/2008,1

A/Uruguay/716/2007,A/Johannesburg/15/2008,2.828427125

A/Uruguay/716/2007,A/Hong_Kong/1952/2009,16

A/Uruguay/716/2007,A/Hong_Kong/1985/2009,45.254834

A/Uruguay/716/2007,A/Perth/16/2009,45.254834

A/Uruguay/716/2007,A/Wisconsin/15/2009,32

A/Finland/9/2008,A/Johannesburg/15/2008,1.414213562

A/Finland/9/2008,A/Hong_Kong/1952/2009,16

A/Finland/9/2008,A/Hong_Kong/1985/2009,22.627417

A/Finland/9/2008,A/Perth/16/2009,16

A/Finland/9/2008,A/Wisconsin/15/2009,16

A/Johannesburg/15/2008,A/Hong_Kong/1952/2009,22.627417

A/Johannesburg/15/2008,A/Hong_Kong/1985/2009,45.254834

A/Johannesburg/15/2008,A/Perth/16/2009,32

A/Johannesburg/15/2008,A/Wisconsin/15/2009,22.627417

A/Hong_Kong/1952/2009,A/Hong_Kong/1985/2009,1

A/Hong_Kong/1952/2009,A/Perth/16/2009,2

A/Hong_Kong/1952/2009,A/Wisconsin/15/2009,1.414213562

A/Hong_Kong/1985/2009,A/Perth/16/2009,2

A/Hong_Kong/1985/2009,A/Wisconsin/15/2009,1

A/Perth/16/2009,A/Wisconsin/15/2009,2

A/BRISBANE/10/2007,A/SOUTH_AUSTRALIA/03/2011,8

A/BRISBANE/10/2007,A/CHIANG_RAI/277/2011,11.3137085

A/BRISBANE/10/2007,A/BRISBANE/299/2011,8

A/BRISBANE/10/2007,A/KENTUCKY/05/2011,8

A/PERTH/16/2009,A/SOUTH_AUSTRALIA/03/2011,1.414213562

A/PERTH/16/2009,A/CHIANG_RAI/277/2011,2

A/PERTH/16/2009,A/BRISBANE/299/2011,1.414213562

A/PERTH/16/2009,A/KENTUCKY/05/2011,1

A/SOUTH_AUSTRALIA/03/2011,A/CHIANG_RAI/277/2011,1.414213562

A/SOUTH_AUSTRALIA/03/2011,A/BRISBANE/299/2011,1

A/SOUTH_AUSTRALIA/03/2011,A/KENTUCKY/05/2011,1

A/CHIANG_RAI/277/2011,A/BRISBANE/299/2011,1.414213562

A/CHIANG_RAI/277/2011,A/KENTUCKY/05/2011,1

A/BRISBANE/299/2011,A/KENTUCKY/05/2011,1.414213562

A/Perth/16/2009,A/Samara/73/2013,5.656854249

A/Perth/16/2009,A/Hong_Kong/146/2013,4

A/Perth/16/2009,A/Stockholm/6/2014_SIAT1/SIAT4,32

A/Perth/16/2009,A/Stockholm/6/2014_E4/E1_isolate_2,4

A/Perth/16/2009,A/Switzerland/9715293/2013_SIAT1/SIAT3,22.627417

A/Perth/16/2009,A/Switzerland/9715293/2013_E4/E1_clone_123,16

A/Perth/16/2009,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,22.627417

A/Perth/16/2009,A/Hong_Kong/5738/2014_E5/E1_clone121,22.627417

A/Victoria/361/2011,A/Samara/73/2013,2

A/Victoria/361/2011,A/Hong_Kong/146/2013,2

A/Victoria/361/2011,A/Stockholm/6/2014_SIAT1/SIAT4,2.828427125

A/Victoria/361/2011,A/Stockholm/6/2014_E4/E1_isolate_2,1

A/Victoria/361/2011,A/Switzerland/9715293/2013_SIAT1/SIAT3,4

A/Victoria/361/2011,A/Switzerland/9715293/2013_E4/E1_clone_123,2.828427125

A/Victoria/361/2011,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2.828427125

A/Victoria/361/2011,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Texas/50/2012,A/Samara/73/2013,2

A/Texas/50/2012,A/Hong_Kong/146/2013,2

A/Texas/50/2012,A/Stockholm/6/2014_SIAT1/SIAT4,11.3137085

A/Texas/50/2012,A/Stockholm/6/2014_E4/E1_isolate_2,2

A/Texas/50/2012,A/Switzerland/9715293/2013_SIAT1/SIAT3,11.3137085

A/Texas/50/2012,A/Switzerland/9715293/2013_E4/E1_clone_123,4

A/Texas/50/2012,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,5.656854249

A/Texas/50/2012,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Samara/73/2013,A/Hong_Kong/146/2013,1.414213562

A/Samara/73/2013,A/Stockholm/6/2014_SIAT1/SIAT4,2.828427125

A/Samara/73/2013,A/Stockholm/6/2014_E4/E1_isolate_2,2

A/Samara/73/2013,A/Switzerland/9715293/2013_SIAT1/SIAT3,2.828427125

A/Samara/73/2013,A/Switzerland/9715293/2013_E4/E1_clone_123,4

A/Samara/73/2013,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2.828427125

A/Samara/73/2013,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Hong_Kong/146/2013,A/Stockholm/6/2014_SIAT1/SIAT4,5.656854249

A/Hong_Kong/146/2013,A/Stockholm/6/2014_E4/E1_isolate_2,2.828427125

A/Hong_Kong/146/2013,A/Switzerland/9715293/2013_SIAT1/SIAT3,5.656854249

A/Hong_Kong/146/2013,A/Switzerland/9715293/2013_E4/E1_clone_123,4

A/Hong_Kong/146/2013,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2.828427125

A/Hong_Kong/146/2013,A/Hong_Kong/5738/2014_E5/E1_clone121,16

A/Stockholm/6/2014_SIAT1/SIAT4,A/Stockholm/6/2014_E4/E1_isolate_2,2.828427125

A/Stockholm/6/2014_SIAT1/SIAT4,A/Switzerland/9715293/2013_SIAT1/SIAT3,1.414213562

A/Stockholm/6/2014_SIAT1/SIAT4,A/Switzerland/9715293/2013_E4/E1_clone_123,5.656854249

A/Stockholm/6/2014_SIAT1/SIAT4,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2

A/Stockholm/6/2014_SIAT1/SIAT4,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Stockholm/6/2014_E4/E1_isolate_2,A/Switzerland/9715293/2013_SIAT1/SIAT3,1.414213562

A/Stockholm/6/2014_E4/E1_isolate_2,A/Switzerland/9715293/2013_E4/E1_clone_123,1.414213562

A/Stockholm/6/2014_E4/E1_isolate_2,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2

A/Stockholm/6/2014_E4/E1_isolate_2,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Switzerland/9715293/2013_SIAT1/SIAT3,A/Switzerland/9715293/2013_E4/E1_clone_123,4

A/Switzerland/9715293/2013_SIAT1/SIAT3,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,2

A/Switzerland/9715293/2013_SIAT1/SIAT3,A/Hong_Kong/5738/2014_E5/E1_clone121,8

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,4

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Hong_Kong/5738/2014_E5/E1_clone121,22.627417

A/Hong_Kong/5738/2014_MDCK1/MDCK2/SIAT1,A/Hong_Kong/5738/2014_E5/E1_clone121,2.828427125

A/Texas/50/2012,A/Stockholm/6/2014,5.656854249

A/Texas/50/2012,A/Stockholm/6/2014_isolate_2,1.414213562

A/Texas/50/2012,A/Switzerland/9715293/2013,5.656854249

A/Texas/50/2012,A/Switzerland/9715293/2013_clone,2

A/Texas/50/2012,A/Netherlands/525/2014,2.828427125

A/Texas/50/2012,A/Hong_Kong/5738/2014,4

A/Texas/50/2012,A/Hong_Kong/4801/2014,5.656854249

A/Texas/50/2012,A/Hong_Kong/4801/2014_isolate_1,11.3137085

A/Texas/50/2012,A/Georgia/532/2015,5.656854249

A/Samara/73/2013,A/Stockholm/6/2014,2

A/Samara/73/2013,A/Stockholm/6/2014_isolate_2,2

A/Samara/73/2013,A/Switzerland/9715293/2013,2.828427125

A/Samara/73/2013,A/Switzerland/9715293/2013_clone,2

A/Samara/73/2013,A/Netherlands/525/2014,2.828427125

A/Samara/73/2013,A/Hong_Kong/5738/2014,2

A/Samara/73/2013,A/Hong_Kong/4801/2014,2.828427125

A/Samara/73/2013,A/Hong_Kong/4801/2014_isolate_1,2

A/Samara/73/2013,A/Georgia/532/2015,4

A/Stockholm/6/2014,A/Stockholm/6/2014_isolate_2,2

A/Stockholm/6/2014,A/Switzerland/9715293/2013_clone,4

A/Stockholm/6/2014,A/Netherlands/525/2014,5.656854249

A/Stockholm/6/2014,A/Hong_Kong/146/2013,5.656854249

A/Stockholm/6/2014,A/Hong_Kong/4801/2014_isolate_1,2.828427125

A/Stockholm/6/2014,A/Georgia/532/2015,2.828427125

A/Stockholm/6/2014_isolate_2,A/Switzerland/9715293/2013,1.414213562

A/Stockholm/6/2014_isolate_2,A/Switzerland/9715293/2013_clone,1

A/Stockholm/6/2014_isolate_2,A/Netherlands/525/2014,4

A/Stockholm/6/2014_isolate_2,A/Hong_Kong/146/2013,2

A/Stockholm/6/2014_isolate_2,A/Hong_Kong/5738/2014,1.414213562

A/Stockholm/6/2014_isolate_2,A/Hong_Kong/4801/2014,1.414213562

A/Stockholm/6/2014_isolate_2,A/Hong_Kong/4801/2014_isolate_1,4

A/Stockholm/6/2014_isolate_2,A/Georgia/532/2015,4

A/Switzerland/9715293/2013,A/Switzerland/9715293/2013_clone,2.828427125

A/Switzerland/9715293/2013,A/Netherlands/525/2014,5.656854249

A/Switzerland/9715293/2013,A/Hong_Kong/146/2013,4

A/Switzerland/9715293/2013,A/Hong_Kong/4801/2014_isolate_1,2

A/Switzerland/9715293/2013,A/Georgia/532/2015,2.828427125

A/Switzerland/9715293/2013_clone,A/Netherlands/525/2014,8

A/Switzerland/9715293/2013_clone,A/Hong_Kong/146/2013,2.828427125

A/Switzerland/9715293/2013_clone,A/Hong_Kong/5738/2014,2

A/Switzerland/9715293/2013_clone,A/Hong_Kong/4801/2014,2.828427125

A/Switzerland/9715293/2013_clone,A/Hong_Kong/4801/2014_isolate_1,8

A/Switzerland/9715293/2013_clone,A/Georgia/532/2015,5.656854249

A/Netherlands/525/2014,A/Hong_Kong/146/2013,2.828427125

A/Netherlands/525/2014,A/Hong_Kong/5738/2014,5.656854249

A/Netherlands/525/2014,A/Hong_Kong/4801/2014,8

A/Netherlands/525/2014,A/Hong_Kong/4801/2014_isolate_1,5.656854249

A/Netherlands/525/2014,A/Georgia/532/2015,11.3137085

A/Hong_Kong/146/2013,A/Hong_Kong/5738/2014,2

A/Hong_Kong/146/2013,A/Hong_Kong/4801/2014,2

A/Hong_Kong/146/2013,A/Hong_Kong/4801/2014_isolate_1,5.656854249

A/Hong_Kong/146/2013,A/Georgia/532/2015,4

A/Hong_Kong/5738/2014,A/Hong_Kong/4801/2014_isolate_1,1

A/Hong_Kong/5738/2014,A/Georgia/532/2015,2

A/Hong_Kong/4801/2014,A/Hong_Kong/4801/2014_isolate_1,1

A/Hong_Kong/4801/2014,A/Georgia/532/2015,2

A/Hong_Kong/4801/2014_isolate_1,A/Georgia/532/2015,1.414213562

A/Perth/16/2009,A/Serbia/NS-210/2013,4

A/Perth/16/2009,NIB-85_(A/Almaty/2958/2013),4

A/Stockholm/18/2011,A/Samara/73/2013,1.414213562

A/Stockholm/18/2011,A/Serbia/NS-210/2013,2

A/Stockholm/18/2011,A/Hong_Kong/146/2013,2

A/Stockholm/18/2011,NIB-85_(A/Almaty/2958/2013),1.414213562

A/Iowa/19/2010,A/Samara/73/2013,2.828427125

A/Iowa/19/2010,A/Serbia/NS-210/2013,2

A/Iowa/19/2010,A/Hong_Kong/146/2013,2.828427125

A/Iowa/19/2010,NIB-85_(A/Almaty/2958/2013),2

A/Victoria/361/2011,A/Serbia/NS-210/2013,1.414213562

A/Victoria/361/2011,NIB-85_(A/Almaty/2958/2013),1

A/Athens/112/2012,A/Samara/73/2013,1.414213562

A/Athens/112/2012,A/Serbia/NS-210/2013,2

A/Athens/112/2012,A/Hong_Kong/146/2013,2.828427125

A/Athens/112/2012,NIB-85_(A/Almaty/2958/2013),2

A/Texas/50/2012,A/Serbia/NS-210/2013,1

A/Texas/50/2012,NIB-85_(A/Almaty/2958/2013),1.414213562

A/Samara/73/2013,A/Serbia/NS-210/2013,1.414213562

A/Samara/73/2013,NIB-85_(A/Almaty/2958/2013),1.414213562

A/Serbia/NS-210/2013,A/Hong_Kong/146/2013,2.828427125

A/Serbia/NS-210/2013,NIB-85_(A/Almaty/2958/2013),1

A/Hong_Kong/146/2013,NIB-85_(A/Almaty/2958/2013),1.414213562

A/Perth/16/2009,A/Stockholm/6/2014_SIAT1/SIAT2,22.627417

A/Perth/16/2009,A/Switzerland/9715293/2013_SIAT1/SIAT2,11.3137085

A/Perth/16/2009,A/Hong_Kong/5738/2014,16

A/Perth/16/2009,A/Hong_Kong/4801/2014,11.3137085

A/Perth/16/2009,A/Netherlands/525/2014,8

A/Texas/50/2012,A/Stockholm/6/2014_SIAT1/SIAT2,11.3137085

A/Texas/50/2012,A/Switzerland/9715293/2013_SIAT1/SIAT2,8

A/Samara/73/2013,A/Stockholm/6/2014_SIAT1/SIAT2,2

A/Samara/73/2013,A/Switzerland/9715293/2013_SIAT1/SIAT2,1.414213562

A/Hong_Kong/146/2013,A/Stockholm/6/2014_SIAT1/SIAT2,5.656854249

A/Hong_Kong/146/2013,A/Switzerland/9715293/2013_SIAT1/SIAT2,5.656854249

A/Hong_Kong/146/2013,A/Netherlands/525/2014,5.656854249

A/Stockholm/6/2014_SIAT1/SIAT2,A/Stockholm/6/2014_E4/E1_isolate_2,2

A/Stockholm/6/2014_SIAT1/SIAT2,A/Switzerland/9715293/2013_SIAT1/SIAT2,0.5

A/Stockholm/6/2014_SIAT1/SIAT2,A/Switzerland/9715293/2013_E4/E1_clone_123,4

A/Stockholm/6/2014_SIAT1/SIAT2,A/Hong_Kong/5738/2014,1.414213562

A/Stockholm/6/2014_SIAT1/SIAT2,A/Hong_Kong/4801/2014,2.828427125

A/Stockholm/6/2014_SIAT1/SIAT2,A/Netherlands/525/2014,5.656854249

A/Stockholm/6/2014_E4/E1_isolate_2,A/Switzerland/9715293/2013_SIAT1/SIAT2,1

A/Stockholm/6/2014_E4/E1_isolate_2,A/Hong_Kong/5738/2014,1.414213562

A/Stockholm/6/2014_E4/E1_isolate_2,A/Hong_Kong/4801/2014,4

A/Stockholm/6/2014_E4/E1_isolate_2,A/Netherlands/525/2014,5.656854249

A/Switzerland/9715293/2013_SIAT1/SIAT2,A/Switzerland/9715293/2013_E4/E1_clone_123,2

A/Switzerland/9715293/2013_SIAT1/SIAT2,A/Hong_Kong/5738/2014,1

A/Switzerland/9715293/2013_SIAT1/SIAT2,A/Hong_Kong/4801/2014,2.828427125

A/Switzerland/9715293/2013_SIAT1/SIAT2,A/Netherlands/525/2014,5.656854249

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Hong_Kong/5738/2014,2.828427125

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Hong_Kong/4801/2014,8

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Netherlands/525/2014,11.3137085

A/Hong_Kong/5738/2014,A/Netherlands/525/2014,8

A/Hong_Kong/4801/2014,A/Netherlands/525/2014,8

A/Hong_Kong/3969/2011,A/Athens/112/2012,1

A/Stockholm/6/2014,A/Bretagne/1413/2017,5.656854249

A/Stockholm/6/2014,A/Hong_Kong/656/2018,4

A/Stockholm/6/2014,A/Switzerland/8060/2017,11.3137085

A/Hong_Kong/5738/2014,A/Bretagne/1413/2017,2.828427125

A/Hong_Kong/5738/2014,A/Hong_Kong/656/2018,2

A/Hong_Kong/5738/2014,A/Switzerland/8060/2017,4

A/Bretagne/1413/2017,A/Singapore/INFIMH-16-0019/2016,5.656854249

A/Bretagne/1413/2017,A/Hong_Kong/656/2018,1.414213562

A/Bretagne/1413/2017,A/Switzerland/8060/2017,1

A/Singapore/INFIMH-16-0019/2016,A/Hong_Kong/656/2018,8

A/Singapore/INFIMH-16-0019/2016,A/Switzerland/8060/2017,4

A/Hong_Kong/656/2018,A/Switzerland/8060/2017,1.414213562

A/Texas/50/2012,A/Georgia/532/2015_plaq_20,11.3137085

A/Samara/73/2013,A/Georgia/532/2015_plaq_20,2

A/Hong_Kong/146/2013,A/Georgia/532/2015_plaq_20,4

A/Stockholm/6/2014_SIAT1/SIAT2,A/Georgia/532/2015_plaq_20,2.828427125

A/Stockholm/6/2014_E4/E1_isolate_2,A/Georgia/532/2015_plaq_20,4

A/Switzerland/9715293/2013_SIAT1/SIAT2,A/Georgia/532/2015_plaq_20,5.656854249

A/Switzerland/9715293/2013_E4/E1_clone_123,A/Georgia/532/2015_plaq_20,5.656854249

A/Hong_Kong/5738/2014,A/Georgia/532/2015_plaq_20,2

A/Hong_Kong/4801/2014,A/Georgia/532/2015_plaq_20,2

A/Georgia/532/2015_plaq_20,A/Netherlands/525/2014,8

A/Perth/16/2009,A/Finland/190/2011,5.656854249

A/Perth/16/2009,A/Norway/1789/2011,4

A/Victoria/208/2009,A/Finland/190/2011,2.828427125

A/Victoria/208/2009,A/Norway/1789/2011,2

A/Alabama/5/2010,A/Finland/190/2011,2.828427125

A/Alabama/5/2010,A/Norway/1789/2011,2

A/Hong_Kong/3969/2011,A/Finland/190/2011,1.414213562

A/Hong_Kong/3969/2011,A/Norway/1789/2011,0.707106781

A/Stockholm/18/2011,A/Finland/190/2011,2.828427125

A/Stockholm/18/2011,A/Norway/1789/2011,1.414213562

A/Iowa/19/2010,A/Finland/190/2011,2

A/Iowa/19/2010,A/Norway/1789/2011,1.414213562

A/Finland/190/2011,A/Norway/1789/2011,1

A/Finland/190/2011,A/Victoria/361/2011,2.828427125

A/Finland/190/2011,A/Berlin/93/2011,1.414213562

A/Norway/1789/2011,A/Victoria/361/2011,4

A/Norway/1789/2011,A/Berlin/93/2011,1.414213562

A/Hong_Kong/146/2013,A/Stockholm/6/2014,5.656854249

A/Hong_Kong/146/2013,A/Switzerland/9715293/2013,2.828427125

A/Stockholm/6/2014,A/Stockholm/6/2014,1

A/Switzerland/9715293/2013,A/Switzerland/9715293/2013,1

A/Hong_Kong/4801/2014,A/Hong_Kong/4801/2014,1

A/WISCONSIN/67/2005_X_PR8_X-161B,A/BRISBANE/10/2007,4

A/WISCONSIN/67/2005_X_PR8_X-161B,A/BRISBANE/10/2007_X-171A,4

A/WISCONSIN/67/2005_X_PR8_X-161B,A/URUGUAY/716/2007,4

A/WISCONSIN/67/2005_X_PR8_X-161B,A/TEXAS/37/2007,5.656854249

A/WISCONSIN/67/2005_X_PR8_X-161B,A/NEPAL/921/2006,5.656854249

A/WISCONSIN/67/2005_X_PR8_X-161B,A/HENAN/JINSHUI147/2007,11.3137085

A/WISCONSIN/67/2005_X_PR8_X-161B,A/British_Columbia/1287/2007,11.3137085

A/BRISBANE/10/2007,A/BRISBANE/10/2007_X-171A,0.5

A/BRISBANE/10/2007,A/URUGUAY/716/2007,0.707106781

A/BRISBANE/10/2007,A/TEXAS/37/2007,0.707106781

A/BRISBANE/10/2007,A/NEPAL/921/2006,2

A/BRISBANE/10/2007,A/HENAN/JINSHUI147/2007,1.414213562

A/BRISBANE/10/2007,A/British_Columbia/1287/2007,1.414213562

A/BRISBANE/10/2007_X-171A,A/URUGUAY/716/2007,0.5

A/BRISBANE/10/2007_X-171A,A/TEXAS/37/2007,0.707106781

A/BRISBANE/10/2007_X-171A,A/NEPAL/921/2006,1

A/BRISBANE/10/2007_X-171A,A/HENAN/JINSHUI147/2007,2

A/BRISBANE/10/2007_X-171A,A/British_Columbia/1287/2007,2

A/URUGUAY/716/2007,A/TEXAS/37/2007,1

A/URUGUAY/716/2007,A/NEPAL/921/2006,1.414213562

A/URUGUAY/716/2007,A/HENAN/JINSHUI147/2007,1.414213562

A/URUGUAY/716/2007,A/British_Columbia/1287/2007,4

A/TEXAS/37/2007,A/NEPAL/921/2006,2

A/TEXAS/37/2007,A/HENAN/JINSHUI147/2007,2

A/TEXAS/37/2007,A/British_Columbia/1287/2007,2

A/NEPAL/921/2006,A/HENAN/JINSHUI147/2007,2

A/NEPAL/921/2006,A/British_Columbia/1287/2007,5.656854249

A/HENAN/JINSHUI147/2007,A/British_Columbia/1287/2007,11.3137085

A/WISCONSIN/67/2005,A/HAWAII/08/2006,1

A/WISCONSIN/67/2005,A/BRISBANE/10/2007_X_PR8_IVR-147,1.414213562

A/WISCONSIN/67/2005,A/BRISBANE/10/2007_X-171A,1.414213562

A/WISCONSIN/67/2005,A/BRISBANE/09/2006,1

A/WISCONSIN/67/2005,A/NEPAL/921/2006,1.414213562

A/WISCONSIN/67/2005,A/HENAN/JINSHUI147/2007,2

