Strain1,Strain2,Distance

A/Perth/16/2009,A/Victoria/208/2009,11.3137085

A/Perth/16/2009,A/Alabama/5/2010,8

A/Perth/16/2009,A/Hong_Kong/3969/2011,5.656854249

A/Perth/16/2009,A/Stockholm/18/2011,8

A/Perth/16/2009,A/Iowa/19/2010,11.3137085

A/Perth/16/2009,A/Victoria/361/2011,5.656854249

A/Perth/16/2009,A/Berlin/93/2011,8

A/Perth/16/2009,A/Athens/112/2012,5.656854249

A/Victoria/208/2009,A/Alabama/5/2010,5.656854249

A/Victoria/208/2009,A/Hong_Kong/3969/2011,4

A/Victoria/208/2009,A/Stockholm/18/2011,4

A/Victoria/208/2009,A/Iowa/19/2010,2

A/Victoria/208/2009,A/Victoria/361/2011,2

A/Victoria/208/2009,A/Berlin/93/2011,4

A/Victoria/208/2009,A/Athens/112/2012,2.828427125

A/Alabama/5/2010,A/Hong_Kong/3969/2011,2

A/Alabama/5/2010,A/Stockholm/18/2011,2.828427125

A/Alabama/5/2010,A/Iowa/19/2010,4

A/Alabama/5/2010,A/Victoria/361/2011,2.828427125

A/Alabama/5/2010,A/Berlin/93/2011,2.828427125

A/Alabama/5/2010,A/Athens/112/2012,2

A/Hong_Kong/3969/2011,A/Stockholm/18/2011,2

A/Hong_Kong/3969/2011,A/Iowa/19/2010,5.656854249

A/Hong_Kong/3969/2011,A/Victoria/361/2011,1.414213562

A/Hong_Kong/3969/2011,A/Berlin/93/2011,2

A/Hong_Kong/3969/2011,A/Athens/112/2012,2

A/Stockholm/18/2011,A/Iowa/19/2010,4

A/Stockholm/18/2011,A/Victoria/361/2011,1.414213562

A/Stockholm/18/2011,A/Berlin/93/2011,2.828427125

A/Stockholm/18/2011,A/Athens/112/2012,1.414213562

A/Iowa/19/2010,A/Victoria/361/2011,2

A/Iowa/19/2010,A/Berlin/93/2011,5.656854249

A/Iowa/19/2010,A/Athens/112/2012,5.656854249

A/Victoria/361/2011,A/Berlin/93/2011,1.414213562

A/Victoria/361/2011,A/Victoria/361/2011,1

A/Victoria/361/2011,A/Athens/112/2012,1.414213562

A/Berlin/93/2011,A/Victoria/361/2011,1.414213562

A/Berlin/93/2011,A/Athens/112/2012,2

A/Perth/16/2009,A/Athens/112/2012,4

A/Perth/16/2009,A/Texas/50/2012,4

A/Perth/16/2009,A/Hawaii/22/2012,11.3137085

A/Victoria/208/2009,A/Athens/112/2012,4

A/Victoria/208/2009,A/Texas/50/2012,1.414213562

A/Victoria/208/2009,A/Hawaii/22/2012,2.828427125

A/Alabama/5/2010,A/Athens/112/2012,1.414213562

A/Alabama/5/2010,A/Texas/50/2012,2.828427125

A/Alabama/5/2010,A/Hawaii/22/2012,5.656854249

A/Stockholm/18/2011,A/Athens/112/2012,1

A/Stockholm/18/2011,A/Texas/50/2012,1.414213562

A/Stockholm/18/2011,A/Hawaii/22/2012,2

A/Iowa/19/2010,A/Athens/112/2012,2

A/Iowa/19/2010,A/Texas/50/2012,2

A/Iowa/19/2010,A/Hawaii/22/2012,4

A/Victoria/361/2011,A/Athens/112/2012,1

A/Victoria/361/2011,A/Texas/50/2012,1

A/Victoria/361/2011,A/Hawaii/22/2012,2

A/Berlin/93/2011,A/Athens/112/2012,1

A/Berlin/93/2011,A/Texas/50/2012,1.414213562

A/Berlin/93/2011,A/Hawaii/22/2012,2.828427125

A/Athens/112/2012,A/Texas/50/2012,1.414213562

A/Athens/112/2012,A/Hawaii/22/2012,2.828427125

A/Texas/50/2012,A/Hawaii/22/2012,2.828427125

A/Stockholm/6/2014,A/Switzerland/9715293/2013,1.414213562

A/Stockholm/6/2014,A/Hong_Kong/5738/2014,2

A/Stockholm/6/2014,A/Hong_Kong/4801/2014,8

A/Stockholm/6/2014,A/Norway/4465/2016,45.254834

A/Stockholm/6/2014,A/Singapore/INFIMH-16-0019/2016,8

A/Switzerland/9715293/2013,A/Hong_Kong/5738/2014,2

A/Switzerland/9715293/2013,A/Hong_Kong/4801/2014,8

A/Switzerland/9715293/2013,A/Norway/4465/2016,32

A/Switzerland/9715293/2013,A/Singapore/INFIMH-16-0019/2016,8

A/Hong_Kong/5738/2014,A/Hong_Kong/4801/2014,2.828427125

A/Hong_Kong/5738/2014,A/Norway/4465/2016,8

A/Hong_Kong/5738/2014,A/Singapore/INFIMH-16-0019/2016,4

A/Hong_Kong/4801/2014,A/Norway/4465/2016,1.414213562

A/Hong_Kong/4801/2014,A/Singapore/INFIMH-16-0019/2016,1

A/Norway/4465/2016,A/Singapore/INFIMH-16-0019/2016,2.828427125

A/Hong_Kong/1/68,A/England/42/72,2.828427125

A/Hong_Kong/1/68,A/Port_Chalmers/1/73,16

