Strain1,Strain2,Distance
A/QUEENSLAND/34/54,A/CHILE/1/83,4.0
A/DENVER/1/57,A/USSR/90/77,90.5096679919
A/DENVER/1/57,A/BRAZIL/11/78,32.0
A/DENVER/1/57,A/LACKLAND/3/78,128.0
A/DENVER/1/57,A/ENGLAND/333/80,64.0
A/DENVER/1/57,A/INDIA/6263/80,45.2548339959
A/DENVER/1/57,A/TEXAS/29/82,90.5096679919
A/DENVER/1/57,A/CHILE/1/83,32.0
A/USSR/90/77,A/ARIZONA/14/78,4.0
A/USSR/90/77,A/BRAZIL/11/78,2.0
A/USSR/90/77,A/LACKLAND/3/78,5.65685424949
A/ARIZONA/14/78,A/BRAZIL/11/78,2.82842712475
A/ARIZONA/14/78,A/LACKLAND/3/78,5.65685424949
A/BRAZIL/11/78,A/LACKLAND/3/78,4.0
A/USSR/90/77,A/ENGLAND/333/80,2.82842712475
A/USSR/90/77,A/INDIA/6263/80,8.0
A/USSR/90/77,A/CHILE/1/83,11.313708499
A/BRAZIL/11/78,A/ENGLAND/333/80,1.41421356237
A/BRAZIL/11/78,A/INDIA/6263/80,8.0
A/BRAZIL/11/78,A/CHILE/1/83,2.82842712475
A/LACKLAND/3/78,A/ENGLAND/333/80,11.313708499
A/LACKLAND/3/78,A/INDIA/6263/80,5.65685424949
A/LACKLAND/3/78,A/CHILE/1/83,8.0
A/ENGLAND/333/80,A/INDIA/6263/80,2.0
A/ENGLAND/333/80,A/CHILE/1/83,2.0
A/INDIA/6263/80,A/CHILE/1/83,2.0
A/BRAZIL/11/78,A/ARIZONA/14/78,5.65685424949
A/BRAZIL/11/78,A/LACKLAND/7/78,2.0
A/BRAZIL/11/78,A/CALIFORNIA/45/78,8.0
A/BRAZIL/11/78,A/USSR/46/79,5.65685424949
A/ARIZONA/14/78,A/LACKLAND/7/78,8.0
A/ARIZONA/14/78,A/CALIFORNIA/45/78,11.313708499
A/ARIZONA/14/78,A/USSR/46/79,5.65685424949
A/LACKLAND/3/78,A/LACKLAND/7/78,2.82842712475
A/LACKLAND/3/78,A/CALIFORNIA/45/78,4.0
A/LACKLAND/3/78,A/USSR/46/79,16.0
A/LACKLAND/7/78,A/CALIFORNIA/45/78,8.0
A/LACKLAND/7/78,A/USSR/46/79,11.313708499
A/CALIFORNIA/45/78,A/USSR/46/79,22.627416998
A/USSR/90/77,A/LACKLAND/7/78,1.0
A/USSR/90/77,A/CALIFORNIA/45/78,22.627416998
A/USSR/90/77,A/USSR/46/79,2.82842712475
A/USSR/92/77,A/FUKUSHIMA/2/1988,90.5096679919
A/USSR/90/77,A/SINGAPORE/6/86,64.0
A/USSR/90/77,A/TAIWAN/1/86,45.2548339959
A/USSR/90/77,A/TEXAS/36/91,90.5096679919
A/USSR/90/77,A/BAYERN/07/95,90.5096679919
A/USSR/90/77,A/NEW_CALEDONIA/20/1999,45.2548339959
A/BRAZIL/11/78,A/SINGAPORE/6/86,64.0
A/BRAZIL/11/78,A/TAIWAN/1/86,45.2548339959
A/BRAZIL/11/78,A/TEXAS/36/91,90.5096679919
A/BRAZIL/11/78,A/BAYERN/07/95,90.5096679919
A/BRAZIL/11/78,A/NEW_CALEDONIA/20/1999,45.2548339959
A/WUHAN/371/95,A/BRAZIL/11/78,256.0
A/WUHAN/371/95,A/INDIA/6263/80,256.0
A/WUHAN/371/95,A/USSR/90/77,256.0
A/WUHAN/371/95,A/ENGLAND/333/80,256.0
A/BAYERN/07/95,A/BRAZIL/11/78,90.5096679919
A/BAYERN/07/95,A/INDIA/6263/80,256.0
A/BAYERN/07/95,A/USSR/90/77,90.5096679919
A/BAYERN/07/95,A/ENGLAND/333/80,256.0
A/BEIJING/262/1995,A/BRAZIL/11/78,45.2548339959
A/BEIJING/262/1995,A/INDIA/6263/80,256.0
A/BEIJING/262/1995,A/USSR/90/77,45.2548339959
A/BEIJING/262/1995,A/ENGLAND/333/80,256.0
A/BRAZIL/11/78,A/BRISBANE/59/2007,256.0
A/BRAZIL/11/78,A/BRISBANE/193/2004,256.0
A/BRAZIL/11/78,A/CAMBODIA/0371/2007,256.0
A/BRAZIL/11/78,A/FLORIDA/13/07,256.0
A/BRAZIL/11/78,A/FUKUSHIMA/141/2006,256.0
A/BRAZIL/11/78,A/HONG_KONG/2652/2006,256.0
A/BRAZIL/11/78,A/JIANGXI/160/2005,256.0
A/BRAZIL/11/78,A/JOHANNESBURG/82/96,256.0
A/BRAZIL/11/78,A/KENTUCKY/01/2005,256.0
A/BRAZIL/11/78,A/KENTUCKY/02/2006,256.0
A/BRAZIL/11/78,A/NEW_CALEDONIA/9/2004,256.0
A/BRAZIL/11/78,A/PHILIPPINES/673/2006,256.0
A/BRAZIL/11/78,A/SHENZHEN/227/95,256.0
A/BRAZIL/11/78,A/SICHUAN/4/88,256.0
A/BRAZIL/11/78,A/SINGAPORE/14/2004,256.0
A/BRAZIL/11/78,A/SOLOMON_ISLANDS/03/2006,256.0
A/BRAZIL/11/78,A/SOUTH_DAKOTA/06/2007,256.0
A/BRAZIL/11/78,A/USSR/90/77,2.82842712475
A/BRAZIL/11/78,A/VICTORIA/500/2006,256.0
A/BRAZIL/11/78,A/VIRGINIA/01/2006,256.0
A/BRAZIL/11/78,A/CHILE/4795/2000,256.0
A/BRAZIL/11/78,A/FUJIAN/156/2000,256.0
A/BRAZIL/11/78,A/HONG_KONG/1870/2008,256.0
A/BRAZIL/11/78,A/MALAYSIA/100/2006,256.0
A/BRAZIL/11/78,A/MOSCOW/13/98,256.0
A/BRAZIL/11/78,A/NEIMENGGU/52/2002,256.0
A/BRISBANE/59/2007,A/INDIA/6263/80,256.0
A/BRISBANE/59/2007,A/USSR/90/77,256.0
A/BRISBANE/59/2007,A/ENGLAND/333/80,256.0
A/BRISBANE/193/2004,A/INDIA/6263/80,256.0
A/BRISBANE/193/2004,A/USSR/90/77,256.0
A/BRISBANE/193/2004,A/ENGLAND/333/80,256.0
A/CAMBODIA/0371/2007,A/INDIA/6263/80,256.0
A/CAMBODIA/0371/2007,A/USSR/90/77,256.0
A/CAMBODIA/0371/2007,A/ENGLAND/333/80,256.0
A/CHILE/1/83,A/INDIA/6263/80,256.0
A/CHILE/1/83,A/USSR/90/77,11.313708499
A/CHILE/1/83,A/ENGLAND/333/80,4.0
A/FLORIDA/13/07,A/INDIA/6263/80,256.0
A/FLORIDA/13/07,A/USSR/90/77,256.0
A/FLORIDA/13/07,A/ENGLAND/333/80,256.0
A/FUKUSHIMA/141/2006,A/INDIA/6263/80,256.0
A/FUKUSHIMA/141/2006,A/USSR/90/77,256.0
A/FUKUSHIMA/141/2006,A/ENGLAND/333/80,256.0
A/HONG_KONG/2652/2006,A/INDIA/6263/80,256.0
A/HONG_KONG/2652/2006,A/USSR/90/77,256.0
A/HONG_KONG/2652/2006,A/ENGLAND/333/80,256.0
A/INDIA/6263/80,A/JIANGXI/160/2005,256.0
A/INDIA/6263/80,A/JOHANNESBURG/82/96,256.0
A/INDIA/6263/80,A/KENTUCKY/01/2005,256.0
A/INDIA/6263/80,A/KENTUCKY/02/2006,256.0
A/INDIA/6263/80,A/NEW_CALEDONIA/9/2004,256.0
A/INDIA/6263/80,A/NEW_CALEDONIA/20/1999,256.0
A/INDIA/6263/80,A/PHILIPPINES/673/2006,256.0
A/INDIA/6263/80,A/SHENZHEN/227/95,256.0
A/INDIA/6263/80,A/SICHUAN/4/88,256.0
A/INDIA/6263/80,A/SINGAPORE/6/86,256.0
A/INDIA/6263/80,A/SINGAPORE/14/2004,256.0
A/INDIA/6263/80,A/SOLOMON_ISLANDS/03/2006,256.0
A/INDIA/6263/80,A/SOUTH_DAKOTA/06/2007,256.0
A/INDIA/6263/80,A/TAIWAN/1/86,256.0
A/INDIA/6263/80,A/TEXAS/36/91,256.0
A/INDIA/6263/80,A/USSR/90/77,11.313708499
A/INDIA/6263/80,A/VICTORIA/500/2006,256.0
A/INDIA/6263/80,A/VIRGINIA/01/2006,256.0
A/INDIA/6263/80,A/ENGLAND/333/80,4.0
A/INDIA/6263/80,A/CHILE/4795/2000,256.0
A/INDIA/6263/80,A/FUJIAN/156/2000,256.0
A/INDIA/6263/80,A/HONG_KONG/1870/2008,256.0
A/INDIA/6263/80,A/MALAYSIA/100/2006,256.0
A/INDIA/6263/80,A/MOSCOW/13/98,256.0
A/INDIA/6263/80,A/NEIMENGGU/52/2002,256.0
A/JIANGXI/160/2005,A/USSR/90/77,256.0
A/JIANGXI/160/2005,A/ENGLAND/333/80,256.0
A/JOHANNESBURG/82/96,A/USSR/90/77,256.0
A/JOHANNESBURG/82/96,A/ENGLAND/333/80,256.0
A/KENTUCKY/01/2005,A/USSR/90/77,256.0
A/KENTUCKY/01/2005,A/ENGLAND/333/80,256.0
A/KENTUCKY/02/2006,A/USSR/90/77,256.0
A/KENTUCKY/02/2006,A/ENGLAND/333/80,256.0
A/NEW_CALEDONIA/9/2004,A/USSR/90/77,256.0
A/NEW_CALEDONIA/9/2004,A/ENGLAND/333/80,256.0
A/NEW_CALEDONIA/20/1999,A/USSR/90/77,45.2548339959
A/NEW_CALEDONIA/20/1999,A/ENGLAND/333/80,256.0
A/PHILIPPINES/673/2006,A/USSR/90/77,256.0
A/PHILIPPINES/673/2006,A/ENGLAND/333/80,256.0
A/SHENZHEN/227/95,A/USSR/90/77,256.0
A/SHENZHEN/227/95,A/ENGLAND/333/80,256.0
A/SICHUAN/4/88,A/USSR/90/77,256.0
A/SICHUAN/4/88,A/ENGLAND/333/80,256.0
A/SINGAPORE/6/86,A/USSR/90/77,64.0
A/SINGAPORE/6/86,A/ENGLAND/333/80,256.0
A/SINGAPORE/14/2004,A/USSR/90/77,256.0
A/SINGAPORE/14/2004,A/ENGLAND/333/80,256.0
A/SOLOMON_ISLANDS/03/2006,A/USSR/90/77,256.0
A/SOLOMON_ISLANDS/03/2006,A/ENGLAND/333/80,256.0
A/SOUTH_DAKOTA/06/2007,A/USSR/90/77,256.0
A/SOUTH_DAKOTA/06/2007,A/ENGLAND/333/80,256.0
A/TAIWAN/1/86,A/USSR/90/77,45.2548339959
A/TAIWAN/1/86,A/ENGLAND/333/80,256.0
A/TEXAS/36/91,A/USSR/90/77,90.5096679919
A/TEXAS/36/91,A/ENGLAND/333/80,256.0
A/USSR/90/77,A/VICTORIA/500/2006,256.0
A/USSR/90/77,A/VIRGINIA/01/2006,256.0
A/USSR/90/77,A/CHILE/4795/2000,256.0
A/USSR/90/77,A/FUJIAN/156/2000,256.0
A/USSR/90/77,A/HONG_KONG/1870/2008,256.0
A/USSR/90/77,A/MALAYSIA/100/2006,256.0
A/USSR/90/77,A/MOSCOW/13/98,256.0
A/USSR/90/77,A/NEIMENGGU/52/2002,256.0
A/VICTORIA/500/2006,A/ENGLAND/333/80,256.0
A/VIRGINIA/01/2006,A/ENGLAND/333/80,256.0
A/ENGLAND/333/80,A/CHILE/4795/2000,256.0
A/ENGLAND/333/80,A/FUJIAN/156/2000,256.0
A/ENGLAND/333/80,A/HONG_KONG/1870/2008,256.0
A/ENGLAND/333/80,A/MALAYSIA/100/2006,256.0
A/ENGLAND/333/80,A/MOSCOW/13/98,256.0
A/ENGLAND/333/80,A/NEIMENGGU/52/2002,256.0
A/USSR/90/77,A/TEXAS/29/82,11.313708499
A/BRAZIL/11/78,A/TEXAS/29/82,16.0
A/LACKLAND/3/78,A/TEXAS/29/82,2.0
A/ENGLAND/333/80,A/TEXAS/29/82,5.65685424949
A/INDIA/6263/80,A/TEXAS/29/82,5.65685424949
A/BEIJING/262/1995,A/NEW_CALEDONIA/20/1999,4.0
A/BEIJING/262/1995,A/EGYPT/96/2002,5.65685424949
A/BEIJING/262/1995,A/CHILE/8885/2002,5.65685424949
A/BEIJING/262/1995,A/HUNGARY/2/03,8.0
A/NEW_CALEDONIA/20/1999,A/EGYPT/96/2002,1.41421356237
A/NEW_CALEDONIA/20/1999,A/CHILE/8885/2002,1.41421356237
A/NEW_CALEDONIA/20/1999,A/HUNGARY/2/03,2.0
A/EGYPT/96/2002,A/CHILE/8885/2002,2.0
A/EGYPT/96/2002,A/HUNGARY/2/03,2.0
A/CHILE/8885/2002,A/HUNGARY/2/03,1.41421356237
A/BAYERN/07/95,A/BEIJING/262/1995,11.313708499
A/BAYERN/07/95,A/NEW_CALEDONIA/20/1999,16.0
A/BAYERN/07/95,A/MADAGASCAR/57794/00,22.627416998
A/BAYERN/07/95,A/EGYPT/96/2002,45.2548339959
A/BEIJING/262/1995,A/MADAGASCAR/57794/00,2.82842712475
A/NEW_CALEDONIA/20/1999,A/MADAGASCAR/57794/00,1.41421356237
A/MADAGASCAR/57794/00,A/EGYPT/96/2002,2.0
A/CHILE/1/83,A/SINGAPORE/6/86,128.0
A/BEIJING/262/1995,A/SHENZHEN/227/95,22.627416998
A/CHILE/1/83,A/TAIWAN/1/86,32.0
A/CHILE/1/83,A/VICTORIA/36/88,45.2548339959
A/SINGAPORE/6/86,A/TAIWAN/1/86,2.0
A/SINGAPORE/6/86,A/VICTORIA/36/88,2.82842712475
A/TAIWAN/1/86,A/VICTORIA/36/88,1.41421356237
A/SOLOMON_ISLANDS/03/2006,A/BRISBANE/59/2007,2.82842712475
A/SOLOMON_ISLANDS/03/2006,A/SOUTH_DAKOTA/06/2007,2.82842712475
A/SOLOMON_ISLANDS/03/2006,A/HONG_KONG/2652/2006,2.0
A/SOLOMON_ISLANDS/03/2006,A/PERTH/200/2008,2.0
A/SOLOMON_ISLANDS/03/2006,A/HONG_KONG/1870/2008,2.82842712475
A/BRISBANE/59/2007,A/SOUTH_DAKOTA/06/2007,1.0
A/BRISBANE/59/2007,A/HONG_KONG/2652/2006,2.0
A/BRISBANE/59/2007,A/PERTH/200/2008,1.41421356237
A/BRISBANE/59/2007,A/HONG_KONG/1870/2008,2.0
A/SOUTH_DAKOTA/06/2007,A/HONG_KONG/2652/2006,2.82842712475
A/SOUTH_DAKOTA/06/2007,A/PERTH/200/2008,1.41421356237
A/SOUTH_DAKOTA/06/2007,A/HONG_KONG/1870/2008,2.0
A/HONG_KONG/2652/2006,A/PERTH/200/2008,1.41421356237
A/HONG_KONG/2652/2006,A/HONG_KONG/1870/2008,2.0
A/PERTH/200/2008,A/HONG_KONG/1870/2008,1.0
A/BEIJING/262/1995,A/FUJIAN/156/2000,4.0
A/BEIJING/262/1995,A/NEIMENGGU/52/2002,4.0
A/BEIJING/262/1995,A/PERU/3135/2003,8.0
A/NEW_CALEDONIA/20/1999,A/FUJIAN/156/2000,1.0
A/NEW_CALEDONIA/20/1999,A/NEIMENGGU/52/2002,1.41421356237
A/NEW_CALEDONIA/20/1999,A/PERU/3135/2003,8.0
A/FUJIAN/156/2000,A/NEIMENGGU/52/2002,1.41421356237
A/FUJIAN/156/2000,A/CHILE/8885/2002,2.0
A/FUJIAN/156/2000,A/PERU/3135/2003,8.0
A/NEIMENGGU/52/2002,A/CHILE/8885/2002,2.0
A/NEIMENGGU/52/2002,A/PERU/3135/2003,16.0
A/CHILE/8885/2002,A/PERU/3135/2003,32.0
A/BEIJING/262/1995,A/KENTUCKY/01/2005,2.82842712475
A/BEIJING/262/1995,A/JIANGXI/160/2005,22.627416998
A/NEW_CALEDONIA/20/1999,A/KENTUCKY/01/2005,2.0
A/NEW_CALEDONIA/20/1999,A/JIANGXI/160/2005,8.0
A/NEIMENGGU/52/2002,A/KENTUCKY/01/2005,1.41421356237
A/NEIMENGGU/52/2002,A/JIANGXI/160/2005,8.0
A/KENTUCKY/01/2005,A/JIANGXI/160/2005,16.0
A/HONG_KONG/470/1997,A/VIETNAM/HN719/2003,1.0
A/HONG_KONG/470/1997,A/VIETNAM/ISBM27/2005,5.65685424949
A/HONG_KONG/470/1997,A/VIETNAM/ISBM15/2005,8.0
A/VIETNAM/HN719/2003,A/VIETNAM/ISBM27/2005,16.0
A/VIETNAM/HN719/2003,A/VIETNAM/ISBM15/2005,4.0
A/VIETNAM/ISBM27/2005,A/VIETNAM/ISBM15/2005,2.0
A/NEW_CALEDONIA/20/1999,A/KENTUCKY/02/2006,0.707106781187
A/NEW_CALEDONIA/20/1999,A/VIRGINIA/01/2006,1.0
A/NEW_CALEDONIA/20/1999,A/ST._PETERSBURG/08/2006,0.707106781187
A/NEW_CALEDONIA/20/1999,A/HONG_KONG/2652/2006,11.313708499
A/NEW_CALEDONIA/20/1999,A/SOLOMON_ISLANDS/03/2006,2.82842712475
A/KENTUCKY/02/2006,A/VIRGINIA/01/2006,1.0
A/KENTUCKY/02/2006,A/ST._PETERSBURG/08/2006,1.0
A/KENTUCKY/02/2006,A/HONG_KONG/2652/2006,8.0
A/KENTUCKY/02/2006,A/SOLOMON_ISLANDS/03/2006,4.0
A/VIRGINIA/01/2006,A/ST._PETERSBURG/08/2006,1.0
A/VIRGINIA/01/2006,A/HONG_KONG/2652/2006,8.0
A/VIRGINIA/01/2006,A/SOLOMON_ISLANDS/03/2006,2.0
A/ST._PETERSBURG/08/2006,A/HONG_KONG/2652/2006,8.0
A/ST._PETERSBURG/08/2006,A/SOLOMON_ISLANDS/03/2006,5.65685424949
A/HONG_KONG/2652/2006,A/SOLOMON_ISLANDS/03/2006,2.0
A/NEW_CALEDONIA/20/1999,A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,4.0
A/NEW_CALEDONIA/20/1999,A/BRISBANE/59/2007,5.65685424949
A/NEW_CALEDONIA/20/1999,A/SOUTH_DAKOTA/06/2007,5.65685424949
A/NEW_CALEDONIA/20/1999,A/FUKUSHIMA/141/2006,5.65685424949
A/NEW_CALEDONIA/20/1999,A/CAMBODIA/0371/2007,16.0
A/SOLOMON_ISLANDS/03/2006_EGG_PASSAGE,A/BRISBANE/59/2007,2.82842712475
